record,candidate_original_stage,caption,background,background_color_bgr,stage_header_132_143_hex,total_enemies,max_simultaneous,unknown_212,stage_intro,enemy_00,enemy_01,enemy_02,enemy_03,enemy_04,enemy_05,enemy_06,enemy_07,enemy_08,enemy_09,enemy_10,enemy_11,enemy_12,enemy_13,enemy_14,enemy_15,enemy_16,enemy_17,enemy_18,enemy_19,enemy_20,enemy_21,enemy_22,enemy_23
87,26,Hidden in Garden,BG_Green_L.jpg,0x00000040,010100000000000000000000,61,25,2,SI02.jpg,2,2,7,2,0,0,7,0,6,1,8,1,2,0,2,0,6,1,4,1,6,1,1,1
88,27,Road of Desert,BG_Yellow_L.jpg,0x00102028,010100000000000000000000,71,30,3,SI01.JPG,2,1,2,1,2,1,2,1,0,0,6,1,6,1,6,1,6,1,10,0,10,1,10,0
89,28,Garden Pot,BG_Green_L.JPG,0x00000000,010100000000000000000000,39,10,3,SI00.JPG,1,1,2,3,3,3,3,3,0,3,1,0,1,0,1,2,2,2,2,2,2,0,1,1
90,29,Hell Gate / (Starting Hell),BG12.jpg,0x00000000,010100000000000000000000,75,20,3,SI06.JPG,2,1,2,1,1,1,5,1,7,1,8,1,0,3,0,3,1,1,11,2,11,1,11,0
91,30,Evil Gate / (Starting Evil),BG_Blue_D.JPG,0x00000000,010100000000000000000000,75,20,3,SI05.JPG,2,2,2,2,3,1,3,1,3,0,4,2,10,2,10,2,10,2,1,3,2,3,2,3
92,31,Great Wall / (Starting Hard),BG_Yellow_L.jpg,0x00102028,010100000000000000000000,72,15,3,SI04.JPG,2,2,2,2,4,1,4,1,4,2,4,2,4,2,4,2,4,2,6,2,6,2,6,2
93,32,Tank eXPerience,BG04.JPG,0x00102028,010100000000000000000000,41,18,3,SI07.JPG,1,2,2,2,4,4,4,4,1,2,2,2,1,1,1,0,1,2,2,2,0,0,0,1
94,33,Chunnel,BG_Yellow_D.jpg,0x00102028,010100000000000000000000,50,12,3,SI08.JPG,8,3,8,3,3,1,3,1,2,1,2,1,3,1,3,1,2,1,2,1,0,0,0,0
95,34,Lose in Interfluve,BG09.jpg,0x00000000,010100000000000000000000,40,20,3,SI09.JPG,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
96,35,93,BG01.jpg,0x00102028,010100000000000000000000,55,25,3,SI04.jpg,1,0,4,1,4,0,4,1,4,1,4,3,4,3,4,3,1,1,1,1,5,0,5,0
97,36,My Game ,BG05.jpg,0x00102028,010100000000000000000000,50,20,3,SI05.jpg,2,0,3,1,4,2,6,2,6,1,6,2,7,0,3,1,0,0,0,0,0,0,4,0
98,37,Yesterday Once More / (Starting Easy),BG01.JPG,0x00000040,010100000000000000000000,57,25,3,SI02.JPG,4,2,4,2,4,1,4,0,4,0,4,0,4,2,4,2,4,0,4,0,4,0,4,0
99,38,Xiao ting,BG01.jpg,0x00000040,010100000000000000000000,60,22,3,SI03.jpg,4,1,4,1,4,1,4,1,4,0,4,3,4,2,4,2,4,1,4,0,4,0,4,0
100,39,Be  Careful of ICE / (Starting Normal),BG01.jpg,0x00000040,010100000000000000000000,56,22,3,SI03.jpg,4,1,4,1,4,1,4,1,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0
101,40,Xiao lian,BG_Blue_L.JPG,0x00000000,010100000000000000000000,51,20,3,SI07.jpg,3,3,3,2,3,2,5,2,3,2,3,1,1,1,1,1,2,0,1,0,3,2,3,4
102,41,Bei zi,BG_Blue_L.JPG,0x00000000,010100000000000000000000,44,20,3,SI07.jpg,0,0,3,2,3,2,2,2,3,2,1,1,4,1,3,1,4,0,0,0,3,2,3,2
103,42,Zhong biao,BG_Blue_L.JPG,0x00000000,010100000000000000000000,51,20,3,SI07.jpg,0,0,1,0,0,2,0,0,3,2,3,5,7,5,7,4,7,3,2,0,0,0,0,0
104,43,Ji xiang,BG_Blue_L.JPG,0x00000000,010100000000000000000000,56,20,3,SI07.jpg,0,0,2,2,2,2,3,2,3,3,3,2,7,2,7,1,7,1,3,1,1,1,1,0
105,44,Xuan,BG_Blue_L.JPG,0x00000000,010100000000000000000000,55,20,3,SI07.jpg,1,1,3,2,2,2,3,2,3,2,2,3,3,3,4,3,7,1,3,1,1,1,1,1
106,45,Fang da,BG_Blue_L.JPG,0x00000000,010100000000000000000000,56,20,3,SI07.jpg,0,0,3,2,3,2,3,2,3,2,3,1,7,1,7,1,7,0,3,0,3,0,3,0
107,46,fire text,BG_Blue_L.JPG,0x00000000,010100000000000000000000,56,20,3,SI07.jpg,0,0,3,2,3,2,3,2,3,2,3,1,7,1,7,1,7,0,3,0,3,0,3,0
108,47,taishan,BG_Blue_D.JPG,0x00000000,010100000000000000000000,75,20,3,SI00.jpg,0,0,2,0,2,0,2,2,2,2,10,0,10,2,10,2,7,2,7,2,7,2,0,2
109,48,center fire,,0x00000000,010100000000000000000000,61,18,3,,0,0,0,0,4,0,4,1,4,1,4,2,5,2,4,2,4,2,4,2,9,2,5,0
110,49,Frame,BG10.jpg,0x00000000,010100000000000000000000,50,22,3,SI02.JPG,2,2,2,4,2,3,2,4,1,2,1,2,1,2,1,2,2,3,2,4,1,2,1,2
111,50,Waterfall,BG11.jpg,0x00000000,010100000000000000000000,49,23,3,SI03.JPG,2,2,2,2,3,3,3,3,0,1,1,1,2,2,1,1,2,2,2,2,3,3,3,3
112,51,X,BG12.jpg,0x00000000,010100000000000000000000,51,24,3,SI04.JPG,2,2,2,2,3,2,3,2,3,3,2,3,0,0,0,0,3,3,2,2,3,3,3,3
113,52,Final Battle,BG13.jpg,0x00000000,010100000000000000000000,51,27,3,SI05.JPG,0,1,3,1,2,3,1,2,2,1,2,2,4,3,3,4,4,3,3,2,2,2,0,1
